0,1,2,3,4,class
-82,-79,-73,-83,-83,4
-83,-78,-74,-90,-89,4
-83,-80,-73,-90,-85,4
-83,-80,-73,-84,-82,4
-83,-80,-71,-87,-81,4
-84,-79,-75,-85,-82,4
-84,-78,-73,-82,-81,4
-84,-80,-72,-86,-81,4
-82,-80,-75,-83,-82,4
-85,-78,-73,-84,-81,4
-87,-78,-73,-86,-82,4
-86,-79,-71,-86,-83,4
-86,-78,-73,-86,-89,4
-83,-78,-72,-84,-85,4
-84,-77,-70,-84,-90,4
-84,-77,-74,-84,-89,4
-81,-79,-73,-83,-83,4
-83,-78,-75,-83,-82,4
-82,-79,-72,-84,-83,4
-83,-81,-73,-84,-82,4
-83,-79,-74,-86,-84,4
-82,-78,-74,-85,-88,4
-84,-81,-73,-85,-82,4
-83,-78,-72,-84,-81,4
-84,-79,-73,-82,-81,4
-83,-80,-71,-80,-81,4
-82,-78,-71,-84,-81,4
-81,-79,-72,-89,-82,4
-82,-76,-71,-83,-84,4
-83,-79,-71,-88,-83,4
-84,-78,-72,-84,-82,4
-79,-80,-74,-87,-82,4
-82,-78,-72,-90,-83,4
-82,-79,-72,-86,-81,4
-83,-79,-74,-84,-84,4
-84,-78,-74,-86,-84,4
-80,-76,-71,-86,-83,4
-81,-80,-74,-84,-85,4
-84,-78,-71,-83,-83,4
-89,-80,-73,-83,-85,4
-85,-80,-73,-86,-86,4
-88,-80,-76,-81,-85,4
-89,-82,-74,-87,-85,4
-83,-80,-69,-85,-84,4
