Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2018-05-17,110.82,112.449997,110.68,111.790001,33049300,108.42071899999999,107.9236127,112.1918338,116.46005490000002,Increasing
2018-05-16,111.290001,111.519997,109.559998,110.209999,44462400,106.888337,107.9810483,111.90683359999998,115.8326188,Decreasing
2018-05-15,110.93,112.099998,110.489998,111.860001,37673500,108.48860900000001,108.0344358,111.7455003,115.45656470000002,Increasing
2018-05-14,111.779999,112.0,110.529999,111.040001,39232600,107.69332299999999,107.9887068,111.6446669,115.30062690000001,Decreasing
2018-05-13,110.800003,111.75,110.110001,111.730003,29759200,108.36253,108.09734830000001,111.4671668,114.8369853,Increasing
2018-05-12,111.339996,114.16999799999999,110.82,113.769997,48778800,110.341039,108.1200469,111.44483340000001,114.76961999999999,Increasing
2018-05-11,114.0,115.58000200000001,113.699997,113.760002,41795200,110.331345,108.09292920000001,111.4565001,114.8200709,Decreasing
2018-05-10,114.33000200000001,115.5,114.099998,115.5,41654100,112.018901,107.99208349999999,111.4936666,114.9952498,Increasing
2018-05-09,116.699997,119.230003,116.33000200000001,119.08000200000001,59366900,115.491004,107.341724,111.6473335,115.9529429,Increasing
2018-05-08,118.08000200000001,118.129997,114.91999799999999,115.279999,66333800,111.80553,107.10682290000001,111.79533329999998,116.4838437,Decreasing
2018-05-07,115.400002,116.540001,113.989998,114.550003,69884400,111.097536,107.21392809999999,112.0395,116.86507179999998,Decreasing
2018-05-06,116.93,119.300003,116.059998,119.269997,85551400,115.67527199999999,107.00231780000001,112.44049979999998,117.87868190000002,Increasing
2018-05-05,118.699997,120.690002,118.269997,120.529999,51227300,116.897299,106.93304579999999,112.9901664,119.04728700000001,Increasing
2018-05-04,120.989998,121.220001,119.449997,119.5,49365300,115.898343,106.92611509999999,113.5106663,120.0952176,Decreasing
2018-05-03,120.800003,121.360001,119.610001,121.18,32203300,117.527709,106.90214479999999,114.0261663,121.15018789999999,Increasing
2018-05-02,120.790001,123.489998,120.699997,122.57,45519000,118.87581499999999,106.77492,114.59183300000001,122.40874609999999,Increasing
2018-05-01,123.129997,123.82,121.620003,122.0,44886100,118.32299499999999,106.8736711,115.1831664,123.49266170000001,Decreasing
2018-04-30,121.849998,122.690002,120.18,120.91999799999999,39552700,117.777553,107.5297965,115.7813331,124.0328696,Decreasing
2018-04-29,121.110001,121.809998,120.620003,121.059998,33042300,117.91391399999999,107.9749626,116.27466640000002,124.5743702,Decreasing
2018-04-28,120.959999,121.809998,120.050003,120.57,33871400,117.43665,108.4461115,116.7186664,124.99122129999999,Decreasing
2018-04-27,116.900002,118.07,116.059998,116.769997,59127900,113.735401,109.04742069999999,116.9849997,124.92257859999998,Decreasing
2018-04-26,116.370003,117.41999799999999,115.209999,116.110001,45218000,113.09255700000001,109.91497439999999,117.2758331,124.63669180000001,Decreasing
2018-04-25,116.260002,116.82,115.650002,115.720001,32525600,112.71269299999999,110.608755,117.5048332,124.40091140000001,Decreasing
2018-04-24,115.199997,115.57,112.269997,112.339996,45812400,109.420527,111.0642124,117.6149997,124.1657871,Decreasing
2018-04-23,111.379997,114.239998,111.0,114.18,38106700,111.212713,111.49596340000001,117.71216629999999,123.9283692,Increasing
2018-04-22,114.91999799999999,115.050003,113.32,113.690002,27616900,110.735449,111.7039561,117.7671665,123.8303768,Decreasing
2018-04-21,115.760002,117.489998,115.5,117.290001,46674700,114.241891,112.00844609999999,117.8878331,123.76722009999999,Increasing
2018-04-20,117.639999,119.75,116.760002,118.779999,43295800,115.69316699999999,112.32347320000001,118.05766650000001,123.7918598,Increasing
2018-04-19,119.199997,119.91999799999999,118.849998,119.300003,34287100,116.19965800000001,112.3528426,118.114833,123.87682350000001,Increasing
2018-04-18,119.269997,119.730003,117.339996,117.75,32482500,114.68993600000002,112.5348643,118.2229998,123.91113529999998,Decreasing
2018-04-17,117.33000200000001,119.349998,117.120003,118.879997,42803200,115.790567,112.89828689999999,118.39416640000002,123.89004579999998,Increasing
2018-04-16,119.209999,119.230003,117.91999799999999,118.029999,21388300,114.962658,112.90810139999999,118.4033331,123.8985648,Decreasing
2018-04-15,118.290001,118.410004,117.599998,117.809998,13046400,114.748374,112.85010520000002,118.3088331,123.76756100000001,Decreasing
2018-04-14,117.989998,119.410004,117.75,118.300003,39180300,115.225646,112.82955520000002,118.23033329999998,123.63111129999999,Increasing
2018-04-13,118.75,118.809998,116.860001,117.339996,34852400,114.29058799999999,112.79576499999999,118.07799979999999,123.36023459999998,Decreasing
2018-04-12,117.339996,118.110001,116.08000200000001,116.279999,33386600,113.258137,112.86329099999999,117.8064999,122.7497088,Decreasing
2018-04-11,116.550003,116.790001,114.220001,115.199997,41569500,112.206202,112.90060749999999,117.4526665,122.00472549999999,Decreasing
2018-04-10,115.290001,119.25,115.110001,119.029999,57777000,115.93667099999999,113.0697614,117.2793332,121.488905,Increasing
2018-04-09,118.980003,119.860001,117.809998,118.279999,32084200,115.20616100000001,113.27862069999999,117.1536665,121.0287123,Decreasing
2018-04-08,117.519997,118.599998,116.860001,118.230003,34309500,115.15746499999999,113.49121720000001,117.0079999,120.5247825,Increasing
2018-04-07,117.639999,117.690002,115.08000200000001,115.620003,46361400,112.615293,113.42856950000001,116.96616670000002,120.5037639,Decreasing
2018-04-06,116.040001,116.940002,115.510002,116.16999799999999,29104200,113.150995,113.4249,116.9641668,120.5034336,Increasing
2018-04-05,115.190002,115.389999,112.849998,113.18,46886200,110.238701,113.0688544,116.8513334,120.63381229999999,Decreasing
2018-04-04,112.18,112.68,109.790001,112.480003,64318700,109.556895,112.60532450000001,116.7641669,120.9230092,Increasing
2018-04-03,111.940002,112.800003,110.349998,110.489998,53323100,107.618605,112.1077587,116.6678336,121.2279084,Decreasing
2018-04-02,111.07,111.989998,108.800003,111.339996,56238500,108.446514,111.3660237,116.5023334,121.63864309999998,Increasing
2018-04-01,112.019997,112.25,108.980003,108.980003,44772800,106.147852,110.3201147,116.1678335,122.0155524,Decreasing
2018-03-31,108.910004,109.519997,105.809998,106.029999,96453300,103.274512,108.6549713,115.6023334,122.54969550000001,Decreasing
2018-03-30,107.279999,107.370003,105.57,107.33000200000001,47590600,104.54073100000001,107.25816499999999,114.97233349999999,122.686502,Increasing
